2004001	1	0	1
2004002	0	2	1
2004003	6	7	0
2004004	2	7	9
2004005	3	9	2
2004006	8	3	7
2004007	1	3	2
2004008	5	5	2
2004009	0	8	7
2004010	7	7	6
2004011	2	1	2
2004012	5	8	1
2004013	7	3	8
2004014	0	2	1
2004015	1	3	5
2004016	5	7	9
2004017	6	4	0
2004018	7	3	4
2004019	7	6	1
2004020	8	0	2
2004021	0	8	4
2004022	6	6	5
2004023	6	4	2
2004024	5	8	4
2004025	9	8	5
2004026	4	2	6
2004027	5	4	1
2004028	4	3	5
2004029	9	7	4
2004030	3	5	0
2004031	6	8	9
2004032	9	9	1
2004033	0	2	8
2004034	2	1	9
2004035	0	6	7
2004036	4	3	5
2004037	7	9	2
2004038	4	3	7
2004039	0	7	2
2004040	1	5	3
2004041	8	3	1
2004042	9	6	6
2004043	7	4	0
2004044	3	2	5
2004045	1	7	3
2004046	1	5	7
2004047	2	1	3
2004048	6	4	6
2004049	9	9	9
2004050	8	5	6
2004051	3	0	2
2004052	1	1	0
2004053	8	3	4
2004054	8	4	8
2004055	1	6	2
2004056	7	4	4
2004057	2	0	9
2004058	4	3	4
2004059	8	3	9
2004060	5	3	2
2004061	4	5	9
2004062	0	4	1
2004063	7	2	3
2004064	8	2	9
2004065	6	0	8
2004066	3	6	6
2004067	4	1	4
2004068	0	1	2
2004069	4	9	2
2004070	6	0	5
2004071	5	7	0
2004072	3	2	3
2004073	6	0	8
2004074	3	2	7
2004075	6	8	2
2004076	9	0	5
2004077	9	3	6
2004078	8	6	0
2004079	8	7	9
2004080	0	9	3
2004081	9	8	4
2004082	1	6	5
2004083	0	4	4
2004084	1	7	0
2004085	2	6	9
2004086	7	3	7
2004087	1	6	3
2004088	2	1	7
2004089	1	9	1
2004090	2	6	3
2004091	0	1	8
2004092	0	3	3
2004093	7	3	3
2004094	2	1	7
2004095	8	1	9
2004096	9	6	4
2004097	3	7	5
2004098	5	5	4
2004099	9	2	0
2004100	6	9	9
2004101	4	9	9
2004102	1	2	5
2004103	2	2	3
2004104	0	6	9
2004105	3	1	0
2004106	6	1	9
2004107	2	5	1
2004108	0	3	3
2004109	5	5	0
2004110	6	2	8
2004111	6	3	1
2004112	1	0	5
2004113	1	3	1
2004114	5	9	9
2004115	6	9	8
2004116	3	3	8
2004117	0	4	8
2004118	8	2	9
2004119	1	7	3
2004120	9	8	2
2004121	3	9	3
2004122	3	1	3
2004123	9	5	0
2004124	5	7	9
2004125	4	9	4
2004126	0	6	2
2004127	7	5	3
2004128	1	0	5
2004129	2	7	5
2004130	1	8	5
2004131	9	7	1
2004132	6	6	5
2004133	3	0	2
2004134	5	4	3
2004135	9	9	2
2004136	3	2	7
2004137	5	7	3
2004138	7	2	3
2004139	5	6	2
2004140	1	1	6
2004141	3	6	0
2004142	6	2	6
2004143	9	1	9
2004144	4	8	4
2004145	4	4	5
2004146	8	4	6
2004147	1	6	1
2004148	9	1	6
2004149	7	4	3
2004150	7	6	8
2004151	2	8	9
2004152	8	3	3
2004153	8	5	0
2004154	3	1	3
2004155	7	7	2
2004156	2	8	6
2004157	6	6	1
2004158	5	2	9
2004159	0	6	4
2004160	1	8	5
2004161	8	3	4
2004162	7	9	9
2004163	5	0	9
2004164	2	4	8
2004165	9	3	8
2004166	6	4	4
2004167	2	1	5
2004168	8	9	5
2004169	2	6	2
2004170	7	8	7
2004171	9	8	6
2004172	5	4	9
2004173	2	8	2
2004174	6	6	6
2004175	8	1	6
2004176	4	8	8
2004177	8	4	5
2004178	5	2	9
2004179	6	9	1
2004180	7	4	3
2004181	8	7	6
2004182	1	9	0
2004183	8	3	1
2004184	6	5	4
2004185	1	3	4
2004186	5	4	9
2004187	0	3	9
2004188	6	2	6
2004189	9	5	9
2004190	2	7	6
2004191	0	0	4
2004192	8	3	4
2004193	6	6	8
2004194	9	8	8
2004195	4	5	2
2004196	7	1	3
2004197	6	3	3
2004198	5	8	9
2004199	3	1	4
2004200	1	6	9
2004201	8	8	4
2004202	7	3	6
2004203	7	0	7
2004204	0	1	4
2004205	6	6	2
2004206	5	6	7
2004207	1	5	9
2004208	5	9	9
2004209	1	4	9
2004210	7	0	9
2004211	6	2	8
2004212	9	0	2
2004213	4	5	5
2004214	9	7	8
2004215	9	0	5
2004216	4	5	9
2004217	9	1	4
2004218	9	2	4
2004219	4	0	0
2004220	8	0	5
2004221	0	2	6
2004222	7	6	7
2004223	0	5	2
2004224	7	9	5
2004225	6	5	1
2004226	5	3	1
2004227	9	6	3
2004228	1	7	1
2004229	1	6	0
2004230	9	9	9
2004231	4	6	7
2004232	8	4	7
2004233	0	9	3
2004234	6	8	6
2004235	2	4	2
2004236	7	5	1
2004237	7	7	1
2004238	4	9	5
2004239	5	1	5
2004240	7	5	5
2004241	0	7	5
2004242	2	5	0
2004243	2	8	0
2004244	3	7	5
2004245	5	6	7
2004246	6	4	2
2004247	1	1	5
2004248	3	8	3
2004249	3	4	6
2004250	4	1	6
2004251	0	7	0
2004252	9	7	4
2004253	0	5	9
2004254	9	1	8
2004255	0	2	5
2004256	4	6	4
2004257	1	4	1
2004258	8	9	4
2004259	1	0	2
2004260	2	7	7
2004261	5	3	7
2004262	6	2	0
2004263	9	6	7
2004264	9	6	4
2004265	8	6	1
2004266	5	9	4
2004267	3	3	8
2004268	0	5	1
2004269	5	9	3
2004270	1	4	1
2004271	2	7	3
2004272	3	9	9
2004273	7	8	8
2004274	8	0	5
2004275	0	7	9
2004276	0	8	5
2004277	9	5	7
2004278	8	8	0
2004279	4	6	0
2004280	2	8	3
2004281	0	0	6
2004282	7	8	9
2004283	8	5	1
2004284	6	9	0
2004285	0	7	0
2004286	5	5	7
2004287	9	8	6
2004288	7	9	1
2004289	9	4	1
2004290	6	1	1
2004291	1	4	4
2004292	4	7	1
2004293	5	0	5
2004294	8	2	8
2004295	6	0	7
2004296	8	7	8
2004297	4	7	7
2004298	4	7	6
2004299	4	3	9
2004300	6	7	9
2004301	6	8	8
2004302	1	7	7
2004303	2	6	4
2004304	5	9	7
2004305	2	7	0
2004306	0	8	6
2004307	9	3	6
2004308	2	8	7
2004309	1	5	2
2004310	2	4	7
2004311	7	9	8
2004312	8	0	1
2004313	4	8	5
2004314	2	0	5
